home_club_id,home_club_position,home_club_goals,home_club_manager_name,home_club_name,game_id
2420,6,1,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2340421
3368,11,1,JoaquÃ­n CaparrÃ³s,Levante UD,2341044
621,5,3,Ernesto Valverde,Athletic Bilbao,2341079
940,11,0,Luis Enrique,Celta de Vigo,2341106
3368,8,2,JoaquÃ­n CaparrÃ³s,Levante UD,2341110
331,13,0,Javi Gracia,CA Osasuna,2341112
1049,7,2,Juan Antonio Pizzi,Valencia CF,2341123
1084,16,0,Bernd Schuster,MÃ¡laga CF,2341134
940,19,0,Luis Enrique,Celta de Vigo,2341144
1049,8,2,Juan Antonio Pizzi,Valencia CF,2341200
13,2,7,Diego Simeone,AtlÃ©tico de Madrid,2341227
1050,5,1,Marcelino,Villarreal CF,2341237
1050,6,1,Marcelino,Villarreal CF,2341319
16795,14,1,Lucas Alcaraz,Granada CF,2341332
306,8,2,Marco van Basten,SC Heerenveen,2342346
1268,15,3,Maurice Steijn,ADO Den Haag,2342374
1304,11,2,Jan de Jonge,Heracles Almelo,2342394
499,3,0,Peter Bosz,Vitesse Arnhem,2342439
1268,16,3,Maurice Steijn,ADO Den Haag,2342460
133,11,0,Dwight Lodeweges,SC Cambuur Leeuwarden,2342472
202,9,3,Erwin van de Looi,FC Groningen,2342483
1268,15,1,Henk Fraser,ADO Den Haag,2342484
1090,7,4,Dick Advocaat,AZ Alkmaar,2342495
202,7,3,Erwin van de Looi,FC Groningen,2342552
1090,8,1,Dick Advocaat,AZ Alkmaar,2342556
499,4,3,Peter Bosz,Vitesse Arnhem,2342576
2578,5,1,Tommy Wright,St. Johnstone FC,2345732
2553,7,0,Allan Johnston,Kilmarnock FC,2345736
2293,12,0,Ugur TÃ¼tÃ¼neker,Konyaspor,2346082
2381,6,2,Roberto Carlos,Sivasspor,2346086
126,9,0,Riza Calimbay,Caykur Rizespor,2346094
10484,2,3,Shota Arveladze,Kasimpasa,2346098
20,11,1,Christoph Daum,Bursaspor,2346109
19771,9,2,Hamza Hamzaoglu,Akhisarspor,2346125
449,7,2,Mustafa Resit Akcay,Trabzonspor,2346137
3205,16,0,Robert Prosinecki,Kayserispor,2346146
20,8,3,Christoph Daum,Bursaspor,2346171
10484,7,1,Shota Arveladze,Kasimpasa,2346184
825,6,2,Ertugrul Saglam,Eskisehirspor,2346196
524,11,2,Sergen Yalcin,Gaziantepspor (- 2020),2346220
825,5,1,Ertugrul Saglam,Eskisehirspor,2346239
6894,17,1,Hikmet Karaman,Kayseri Erciyesspor,2346258
6894,15,3,Hikmet Karaman,Kayseri Erciyesspor,2346325
10484,7,1,Shota Arveladze,Kasimpasa,2346337
