away_club_id,away_club_position,away_club_goals,away_club_manager_name,away_club_name,game_id
131,,2,Tito Vilanova,FC Barcelona,2282712
683,,0,Michel,Olympiacos Piraeus,2284471
40,,1,Francis Gillot,FC Girondins Bordeaux,2284475
2671,6,1,Giannis Christopoulos,PAS Giannina,2284884
265,8,0,Fabri GonzÃ¡lez,Panathinaikos Athens,2284894
13,,1,Diego Simeone,AtlÃ©tico de Madrid,2289025
2079,14,0,,Veria NPS,2289248
265,8,0,Fabri GonzÃ¡lez,Panathinaikos Athens,2289262
5219,16,0,Giannis Papakostas,AOK Kerkyra,2289281
6676,2,2,,Asteras Tripolis,2289291
5219,16,1,Giannis Papakostas,AOK Kerkyra,2289326
3368,,0,Juan Ignacio MartÃ­nez,Levante UD,2293175
16,,0,JÃ¼rgen Klopp,Borussia Dortmund,2301897
294,,1,Jorge Jesus,SL Benfica,2301914
371,1,1,Neil Lennon,Celtic FC,2311700
41,9,3,Thorsten Fink,Hamburger SV,2321027
86,7,1,Robin Dutt,SV Werder Bremen,2321033
23,15,1,Torsten Lieberknecht,Eintracht Braunschweig,2321044
24,11,2,Armin Veh,Eintracht Frankfurt,2321060
41,15,2,Thorsten Fink,Hamburger SV,2321072
4,16,1,Michael Wiesinger,1.FC Nuremberg,2321079
16,1,1,JÃ¼rgen Klopp,Borussia Dortmund,2321086
33,6,2,Jens Keller,FC Schalke 04,2321152
39,9,3,Thomas Tuchel,1.FSV Mainz 05,2321205
24,14,0,Armin Veh,Eintracht Frankfurt,2321217
44,7,3,Jos Luhukay,Hertha BSC,2321233
39,7,1,Thomas Tuchel,1.FSV Mainz 05,2321294
82,6,1,Dieter Hecking,VfL Wolfsburg,2321307
44,10,0,Jos Luhukay,Hertha BSC,2321330
18,6,1,Lucien Favre,Borussia MÃ¶nchengladbach,2321335
12438,10,2,Yuriy Kalitvintsev,Volga Nizhniy Novgorod (- 2016),2323730
964,3,2,Luciano Spalletti,Zenit St. Petersburg,2323731
354,10,3,Harm van Veldhoven,KV Mechelen,2329722
3508,4,1,Francky Dury,SV Zulte Waregem,2329782
2282,3,0,Michel Preud'homme,Club Brugge KV,2329799
595,8,2,FrÃ©dÃ©ric Hantz,SC Bastia,2330874
855,10,2,Jocelyn Gourvennec,EA Guingamp,2330880
1082,2,1,RenÃ© Girard,LOSC Lille,2330916
618,6,1,Christophe Galtier,AS Saint-Ã‰tienne,2330968
1147,20,1,Christian Bracconi,AC Ajaccio,2330980
583,1,1,Laurent Blanc,Paris Saint-Germain,2331006
14171,17,0,Pascal Dupraz,Thonon Ã‰vian Grand GenÃ¨ve FC,2331018
273,15,1,Philippe Montanier,Stade Rennais FC,2331034
14171,17,1,Pascal Dupraz,Thonon Ã‰vian Grand GenÃ¨ve FC,2331082
417,12,1,Claude Puel,OGC Nice,2331094
1041,5,2,RÃ©mi Garde,Olympique Lyon,2331101
244,6,1,JosÃ© Anigo,Olympique Marseille,2331107
583,1,1,Laurent Blanc,Paris Saint-Germain,2331110
995,11,6,Michel Der Zakarian,FC Nantes,2331123
1041,5,2,RÃ©mi Garde,Olympique Lyon,2331135
855,16,1,Jocelyn Gourvennec,EA Guingamp,2331162
984,15,3,Keith Downing,West Bromwich Albion,2331988
2288,9,2,Michael Laudrup,Swansea City,2332000
