player_id,player_code
116900,simon-hedlund
117482,cimo-rocker
117989,dmitriy-shomko
118044,ivan-maevskiy
118302,nikolaos-vergos
118732,pablo-chavarria
118940,ishmael-yartey
119224,rustem-mukhametshin
119346,caner-bulut
119553,jack-grimmer
120296,benjamin-uphoff
120382,lovro-medic
120543,andriy-poltavtsev
120629,alphonse-areola
121009,maksym-kalenchuk
121756,romulo
121990,wellington-silva
122736,paddy-barrett
122994,thibaut-van-acker
123145,mustapha-dumbuya
123300,samuel-atrous
124170,goncalo-graca
124286,hugo-vieira
124495,tolis-vellios
124555,cristiano-biraghi
124732,john-anthony-brooks
124785,patrick-schorr
125125,emiliano-albin
125291,everson-lima
125314,pontus-jansson
125710,emiliano-tortolano
126145,vadim-steklov
126659,loris-nery
126719,juan-bernat
127128,mathieu-deplagne
127220,giuseppe-capua
127769,nwankwo-obiora
128168,thijs-bouma
128833,ramazotti
128904,ben-gibson
128969,mathew-ryan
129521,giannis-riganas
129597,daimy-deflem
129699,theodoros-berios
129702,vasilios-golias
131163,pedro-santos
131314,toni-gorupec
131694,olarenwaju-kayode
131908,najib-ammari
131951,kevin-lasagna
134578,ondrej-vanek
134580,filipe-melo
134883,daniele-baselli
135111,elliott-frear
135490,lindsay-rose
135747,luca-lezzerini
136109,alexei-coselev
136501,kadeem-harris
136513,vasilios-karagounis
136748,giannis-goniadis
138267,ruben-brigido
138662,alvaro-arroyo
138777,eli-elbaz
139341,josue-sa
139395,ricardo-esgaio
139435,dani-rodriguez
141344,lee-lynch
142326,philtzgerald-mbaka
142414,cihan-yildiz
142990,stefano-scognamillo
143863,marti-riverola
144304,ognjen-ozegovic
144696,dmitri-otstavnov
146488,samir-carruthers
146805,majeed-waris
148365,casper-nielsen
148550,koray-altinay
148656,rafael-broetto
148911,frankie-sutherland
149182,vladimir-sobolev
149579,elbasan-rashani
149650,rafael-veloso
149810,matija-boben
152517,ricardo-ippel
153538,andre-bjerregaard
155202,piotr-parzyszek
155396,claudio-ramos
155960,lukas-spalvis
156751,ian-mcshane
157125,laurent-henkinet
157387,anthony-dalberto
157543,dimitrios-kourbelis
157907,doneil-henry
158623,cyrus-christie
159123,kasper-lynge-nielsen
159773,pablo-ceppelini
159902,amato-ciciretti
160182,jose-angel
160567,thibault-moulin
160839,konstantinos-triantafyllou
160920,brad-mckay
161368,kristoffer-pallesen
161504,chris-moffat
161544,pascal-itter
162027,david-gil
162043,iker-hernandez
162061,nando-quesada
162551,federico-serra
163689,irakli-shekiladze
163690,franco-signorelli
164451,jeff-louis
164769,dominique-pandor
164837,kristopher-vida
165531,jacopo-dezi
165896,francesco-proietti-gaffi
166470,hilaire-momi
167105,lukas-lerager
