club_id,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_seats,stadium_name,last_season
19657,DK1,24,25.1,7,29.2,0,10000,Nord Energi Arena,2018
234,NL1,27,23.6,14,51.9,16,47500,Stadion Feyenoord De Kuip,2023
2375,TR1,31,25.3,3,9.7,0,15000,Alsancak Mustafa Denizli Stadı,2021
2448,ES1,28,26.2,10,35.7,2,29029,El Molinón - Enrique Castro Quini,2016
2741,RU1,25,26.3,11,44,3,35000,Rostech Arena,2023
2783,UKR1,0,,0,,0,5090,Metalurg,2014
3205,TR1,30,25.4,14,46.7,6,32864,RHG Enertürk Enerji Stadyumu,2023
3349,PO1,24,25,11,45.8,2,5401,Estádio Marcolino de Castro,2018
3385,GR1,34,25.7,14,41.2,5,9500,Dimotiko Gipedo Serron,2023
368,ES1,28,28,18,64.3,8,43883,Ramón Sánchez-Pizjuán,2023
38,L1,29,25.9,12,41.4,2,54600,MERKUR SPIEL-ARENA,2019
3948,BE1,25,24.6,17,68,6,8000,Stade Joseph Mariën,2023
415,FR1,31,22.6,23,74.2,8,33150,Stadium Municipal,2023
416,IT1,26,24.7,21,80.8,14,28177,Stadio Olimpico Grande Torino,2023
417,FR1,29,23.7,14,48.3,11,36178,Allianz Riviera,2023
44,L1,36,24.1,14,38.9,7,74667,Olympiastadion Berlin,2022
467,NL1,24,24.1,9,37.5,1,12500,Goffertstadion,2023
53646,UKR1,28,26.1,6,21.4,1,5928,Tsentralnyi Polissya,2023
631,GB1,30,23.1,20,66.7,20,40853,Stamford Bridge,2023
749,IT1,29,25.3,12,41.4,8,19847,Carlo Castellani,2023
833,TR1,27,25.8,3,11.1,1,18745,Denizli Atatürk Stadı,2020
865,DK1,26,25.1,18,69.2,9,11535,MCH Arena,2023
10,L1,27,25.3,15,55.6,4,26515,SchücoArena,2021
10484,TR1,24,25.4,11,45.8,2,13856,Recep Tayyip Erdoğan Stadyumu,2023
1049,ES1,23,24.4,9,39.1,7,49430,Mestalla,2023
1053,DK1,27,24.5,10,37,0,13800,Aalborg Portland Park,2022
1075,PO1,26,27.2,15,57.7,7,30286,Estádio Municipal de Braga,2023
1269,NL1,26,24.8,11,42.3,0,14000,MAC³PARK stadion,2023
132,NL1,32,23.7,10,31.3,2,19000,Rat Verlegh Stadion,2018
2292,TR1,28,25.3,0,,0,23000,Elazığ Stadyumu,2013
27,L1,26,25.8,14,53.8,18,75024,Allianz Arena,2023
2759,SC1,27,25.7,15,55.6,1,6541,Global Energy Stadium,2023
2778,DK1,28,22.1,11,39.3,4,10300,Right to Dream Park,2023
29,GB1,25,26.6,11,44,6,39571,Goodison Park,2023
290,FR1,26,24.3,15,55.6,6,18541,Stade de l'Abbé-Deschamps,2022
30120,GR1,28,26.7,14,50,2,0,Gipedo Kesarianis Michalis Kritikopoulos,2023
306,NL1,23,24,11,47.8,4,27224,Abe Lenstra Stadion,2023
3268,PO1,27,25.2,15,55.6,4,6925,Estádio Municipal de Rio Maior,2023
347,FR1,29,24.8,21,72.4,9,28786,Stade Saint-Symphorien,2023
3714,RU1,26,25.6,2,7.7,1,15000,Zentralstadion Krasnoyarsk,2018
399,GB1,27,24.6,18,66.7,9,37890,Elland Road,2022
4083,IT1,25,27,6,24,1,16640,Ezio Scida,2020
465,SC1,22,25.9,17,77.3,5,8023,The SMISA Stadium,2023
48332,UKR1,28,26.5,4,14.3,1,5050,Kolos,2023
533,L1,30,25.6,13,43.3,12,30150,PreZero Arena,2023
58,BE1,29,24.9,15,51.7,11,21500,Lotto Park,2023
607,IT1,27,25.6,17,63,5,11150,Pier Luigi Penzo,2021
68608,PO1,30,25.7,5,16.7,0,19980,Estádio do Restelo,2017
724,NL1,30,21.9,14,46.7,3,7384,Kras Stadion,2023
800,IT1,25,26.6,17,68,15,21747,Gewiss Stadium,2023
979,PO1,28,24.9,19,67.9,2,6153,Estádio C. J. de Almeida Freitas,2023
984,GB1,25,27.8,8,32,4,26850,The Hawthorns,2020
