club_id,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_seats,stadium_name,last_season
1158,FR1,30,24.5,14,46.7,10,19010,Stade du Moustoir,2023
1177,DK1,25,23.3,5,20,4,10000,JYSK Park,2023
13,ES1,24,28.5,14,58.3,14,67829,Civitas Metropolitano,2023
131,ES1,21,26,10,47.6,16,55926,Olímpic Lluís Companys,2023
133,NL1,16,23.1,4,25,3,10250,Cambuurstadion,2022
141,TR1,30,25.2,16,53.3,14,52223,Ali Sami Yen Spor Kompleksi RAMS Park,2023
1411,BE1,0,,0,,0,12662,Stade Charles Tondreau,2013
169,GR1,34,23.5,4,11.8,0,11700,Stadio Neas Smyrnis,2019
18,L1,31,25.1,17,54.8,8,54042,Stadion im Borussia-Park,2023
18105,UKR1,3,18.3,0,,0,3742,Stadion SKIF,2022
2036,L1,28,25.6,5,17.9,1,15000,Voith-Arena,2023
273,FR1,25,24,10,40,7,29778,Roazhon Park,2023
3325,PO1,27,25.6,15,55.6,4,9000,Estádio Municipal Eng.º Manuel Branco Teixeira,2023
3327,PO1,28,27.9,4,14.3,0,5230,Estádio Municipal 25 de Abril,2014
366,ES1,22,27.2,11,50,6,27618,Nuevo José Zorrilla,2022
4294,PO1,28,27.4,15,53.6,2,7000,Estádio São Luís,2023
458,IT1,28,25.6,7,25,4,36365,Comunale Renzo Barbera La Favorita,2016
46,IT1,25,28.2,16,64,19,75923,Giuseppe Meazza,2023
5220,GR1,3,23.3,0,,0,25780,Pankritio Stadio,2014
5572,GR1,26,27.2,7,26.9,2,22700,Panthessaliko Stadio,2014
5817,DK1,30,24,9,30,1,10000,Sydbank Park,2021
605,GR1,29,28.3,24,82.8,3,22800,Gipedo Kleanthis Vikelidis,2023
995,FR1,28,25.4,15,53.6,9,37463,Stade de la Beaujoire,2023
1003,GB1,25,27.1,14,56,11,32273,King Power Stadium,2022
1237,GB1,26,25.5,19,73.1,13,31800,AMEX Stadium,2023
1436,PO1,26,26.6,8,30.8,0,32830,Estádio Municipal de Aveiro,2012
1455,NL1,29,23.3,12,41.4,1,4235,Matchoholic Stadion,2014
14589,RU1,28,25.1,14,50,7,10046,Gazovik,2023
1519,SC1,25,24.7,8,34.8,2,14223,Tannadice Park,2022
16239,UKR1,0,,0,,0,12060,Stadion im. Yuriya Gagarina,2021
173,DK1,26,24.2,14,53.8,5,15790,Nature Energy Park,2023
200,NL1,26,24.9,14,53.8,3,23750,Stadion Galgenwaard,2023
206,DK1,24,25.2,11,45.8,4,28000,Brøndby Stadion,2023
2715,BE1,22,23.5,13,59.1,2,6744,Stade du Paray,2022
28956,GR1,0,,0,,0,4000,Stadio Mytilinis,2015
2969,FR1,29,25.8,14,48.3,4,16098,Stade Gaston-Gérard,2020
2995,PO1,32,25.5,17,50,1,9076,Estádio Capital do Móvel,2022
3426,DK1,27,22.7,10,37,2,16942,Blue Water Arena,2019
3522,IT1,32,24.4,25,78.1,11,11676,Alberto Picco,2022
3609,RU1,27,23.9,2,7.4,0,45568,Volgograd Arena,2020
39097,UKR1,23,26.7,1,4.3,0,5103,Obolon-Arena,2023
39722,TR1,28,26.1,7,25,1,23700,Erzurum Kazım Karabekir,2020
40,FR1,26,22.7,13,50,6,42115,Matmut Atlantique,2021
41274,BE1,26,23.9,12,46.2,2,12771,Olympisch Stadion,2021
43,SC1,28,26,16,57.1,7,19852,Tynecastle Park,2023
47,GR1,27,24.3,9,33.3,0,27770,Kaftanzoglio Stadio,2016
4750,PO1,10,23.4,5,50,0,10080,Estádio José Arcanjo,2013
589,TR1,34,25.8,15,44.1,5,32537,Corendon Airlines Park Antalya Stadı,2023
6,TR1,10,23.9,4,40,0,33000,Yeni Adana Stadyumu,2016
6195,IT1,27,25.8,17,63,16,54726,Stadio Diego Armando Maradona,2023
82,L1,29,24,19,65.5,12,28917,Volkswagen Arena,2023
1050,ES1,24,28.4,8,33.3,6,23500,La Cerámica,2023
1096,BE1,28,24.4,14,50,4,16144,De Bosuil,2023
1147,FR1,24,27.5,11,45.8,6,10446,Stade François-Coty,2022
130,IT1,30,24.9,23,76.7,6,22352,Ennio Tardini,2020
1429,IT1,28,26,4,14.3,0,23860,Orogel Stadium - Dino Manuzzi,2014
15,L1,27,24.1,21,77.8,17,30210,BayArena,2023
16247,UKR1,0,,0,,0,5100,Obolon,2017
20100,DK1,0,,0,,0,10000,Harboe Arena,2014
20698,TR1,22,22,1,4.5,0,15800,Balıkesir Atatürk,2014
2323,TR1,3,20,0,,0,11024,19 Eylül Stadyum,2012
2722,IT1,32,26,8,25,2,16134,Paolo Mazza,2019
276,IT1,33,25.2,22,66.7,7,39211,Marcantonio Bentegodi,2023
3329,PO1,27,23.3,19,70.4,4,5305,Estádio Municipal de Famalicão,2023
3691,RU1,0,,0,,0,10028,Trud,2016
370,SC1,26,24.8,18,69.2,5,22199,Pittodrie Stadium,2023
475,BE1,30,23,13,43.3,4,14600,Daio Wasabi Stayen Stadium,2023
49364,UKR1,23,25.7,2,8.3,0,1720,Stadion Ingulets,2022
498,BE1,0,,0,,0,12000,Daknamstadion,2018
524,TR1,0,,0,,0,33502,Gaziantep Stadyumu,2016
553,GR1,17,28.4,11,64.7,0,5500,Dimotiko Gipedo Neapolis,2022
642,NL1,30,23.7,6,20,0,12600,Stadion De Vijverberg,2018
6676,GR1,29,26.1,17,58.6,1,7423,Gipedo Theodoros Kolokotronis,2023
703,GB1,32,26.3,27,84.4,20,30445,The City Ground,2023
80,L1,30,27.1,14,46.7,3,26000,Vonovia Ruhrstadion,2023
976,PO1,0,,0,,0,2500,Centro Desportivo da Madeira,2015
1031,GB1,25,27,12,48,7,10226,Kenilworth Road,2023
1071,GB1,26,24,8,30.8,2,25133,DW Stadium,2012
1090,NL1,28,23,10,35.7,4,19478,AFAS Stadion,2023
1110,GB1,33,26.7,12,36.4,3,24500,John Smith's Stadium,2018
11126,RU1,0,,0,,0,44442,Mordovia Arena,2015
1159,FR1,27,25.7,5,18.5,0,20087,Stade Marcel-Picot,2016
12438,RU1,0,,0,,0,17856,Zentralstadion Lokomotiv,2013
1301,PO1,29,27.2,19,65.5,2,10600,Estádio do Marítimo,2022
1304,NL1,30,23.6,14,46.7,1,12080,Erve Asito,2023
1421,FR1,24,24.6,18,75,10,21684,Stade Auguste-Delaune,2023
1423,FR1,30,23.6,15,50,5,25000,Stade du Hainaut,2013
162,FR1,27,23.6,27,100,15,17000,Stade Louis-II,2023
20,TR1,26,21.4,0,,0,43361,Bursa Büyükşehir Belediye Stadyumu,2018
235,NL1,27,24.9,13,48.1,3,7508,Mandemakers Stadion,2023
24,L1,34,24.2,20,58.8,9,55000,Deutsche Bank Park,2023
2441,GR1,32,27.4,23,71.9,15,32500,OPAP Arena,2023
2861,BE1,26,23.3,14,50,2,8432,Diaz Arena,2022
294,PO1,25,25.1,15,60,11,64642,Estádio da Luz,2023
3060,GR1,30,25.6,16,53.3,5,9050,Stadio Peristeriou,2023
331,ES1,24,27.8,4,16.7,3,23576,El Sadar,2023
3336,PO1,0,,0,,0,5441,Estádio CD das Aves,2019
3709,ES1,24,27,13,54.2,6,16800,Coliseum,2023
