game_id,competition_id,season,round,date,aggregate,competition_type
3092956,CLQ,2018,Qualifying Round 1st leg,21/08/18,1:01,international_cup
3135802,CL,2018,last 16 1st leg,13/02/19,1:02,international_cup
3136370,BE1,2018,21. Matchday,27/12/18,3:00,domestic_league
3140028,BE1,2018,29. Matchday,10/03/19,1:02,domestic_league
3141183,NL1,2018,31. Matchday,21/04/19,2:01,domestic_league
3190404,POSU,2019,Final,04/08/19,5:00,other
3203645,L1,2019,24. Matchday,29/02/20,2:00,domestic_league
3208637,ES1,2019,38. Matchday,19/07/20,1:01,domestic_league
3209838,DK1,2019,2. Matchday,21/07/19,1:01,domestic_league
3210331,DK1,2019,9. Matchday,13/09/19,0:00,domestic_league
3210387,DK1,2019,17. Matchday,24/11/19,2:01,domestic_league
3210470,GR1,2019,9. Matchday,04/11/19,1:00,domestic_league
3211329,PO1,2019,1. Matchday,10/08/19,2:01,domestic_league
3211583,PO1,2019,15. Matchday,05/01/20,0:01,domestic_league
3216108,NL1,2019,9. Matchday,05/10/19,2:01,domestic_league
3216199,NL1,2019,19. Matchday,19/01/20,2:00,domestic_league
3219301,GB1,2019,18. Matchday,21/12/19,0:01,domestic_league
3223054,TR1,2019,5. Matchday,21/09/19,2:01,domestic_league
3223125,TR1,2019,13. Matchday,30/11/19,5:00,domestic_league
3223153,TR1,2019,16. Matchday,22/12/19,3:01,domestic_league
3229313,IT1,2019,15. Matchday,08/12/19,0:01,domestic_league
3229339,IT1,2019,18. Matchday,05/01/20,2:01,domestic_league
3229360,IT1,2019,20. Matchday,19/01/20,2:01,domestic_league
3229426,IT1,2019,27. Matchday,22/06/20,1:01,domestic_league
3232977,ELQ,2019,3rd round 1st leg,08/08/19,2:04,international_cup
3255928,POCP,2019,Group C,04/12/19,0:02,domestic_cup
3274420,BE1,2019,18. Matchday,08/12/19,0:00,domestic_league
3302944,BE1,2019,27. Matchday,23/02/20,1:00,domestic_league
3309821,GR1,2019,26. Matchday,01/03/20,4:01,domestic_league
3328541,EL,2019,last 16 1st leg,12/03/20,1:03,international_cup
3394668,FR1,2020,11. Matchday,22/11/20,4:03,domestic_league
3394711,FR1,2020,15. Matchday,16/12/20,2:02,domestic_league
3394809,FR1,2020,25. Matchday,14/02/21,1:02,domestic_league
3394892,FR1,2020,29. Matchday,14/03/21,1:00,domestic_league
3412942,L1,2020,4. Matchday,17/10/20,0:01,domestic_league
3412946,L1,2020,30. Matchday,20/04/21,2:00,domestic_league
3413091,L1,2020,23. Matchday,27/02/21,3:00,domestic_league
3415264,BE1,2020,4. Matchday,30/08/20,0:03,domestic_league
3415291,BE1,2020,7. Matchday,26/09/20,3:02,domestic_league
3415359,BE1,2020,14. Matchday,29/11/20,0:00,domestic_league
3415399,BE1,2020,19. Matchday,27/12/20,2:01,domestic_league
3415488,BE1,2020,29. Matchday,06/03/21,4:02,domestic_league
3415506,BE1,2020,31. Matchday,19/03/21,2:02,domestic_league
3421706,GB1,2020,4. Matchday,03/10/20,4:02,domestic_league
3421753,GB1,2020,9. Matchday,21/11/20,1:02,domestic_league
3421861,GB1,2020,19. Matchday,16/01/21,1:00,domestic_league
3426943,TR1,2020,16. Matchday,03/01/21,0:02,domestic_league
3426990,TR1,2020,21. Matchday,25/01/21,4:03,domestic_league
3427012,TR1,2020,23. Matchday,03/02/21,1:01,domestic_league
3427031,TR1,2020,25. Matchday,13/02/21,0:00,domestic_league
3427069,TR1,2020,28. Matchday,02/03/21,0:01,domestic_league
3429806,GB1,2020,32. Matchday,16/04/21,2:02,domestic_league
3432099,PO1,2020,19. Matchday,16/02/21,2:01,domestic_league
3432117,PO1,2020,27. Matchday,17/04/21,0:00,domestic_league
3432151,PO1,2020,16. Matchday,31/01/21,1:00,domestic_league
3432224,PO1,2020,18. Matchday,09/02/21,0:00,domestic_league
3432227,PO1,2020,25. Matchday,02/04/21,1:05,domestic_league
3433201,IT1,2020,2. Matchday,26/09/20,2:03,domestic_league
3433316,IT1,2020,14. Matchday,22/12/20,2:01,domestic_league
3433341,IT1,2020,16. Matchday,06/01/21,1:02,domestic_league
3433402,IT1,2020,22. Matchday,15/02/21,2:01,domestic_league
3433411,IT1,2020,23. Matchday,19/02/21,3:00,domestic_league
3433443,IT1,2020,26. Matchday,06/03/21,2:00,domestic_league
3433452,IT1,2020,27. Matchday,12/03/21,3:01,domestic_league
3433490,IT1,2020,31. Matchday,17/04/21,4:03,domestic_league
3447004,DK1,2020,1. Matchday,13/09/20,3:02,domestic_league
3450564,NL1,2020,5. Matchday,17/10/20,0:01,domestic_league
3450660,NL1,2020,21. Matchday,06/02/21,1:01,domestic_league
3450765,NL1,2020,27. Matchday,20/03/21,0:01,domestic_league
3451003,ES1,2020,10. Matchday,22/11/20,0:01,domestic_league
3451075,ES1,2020,17. Matchday,02/01/21,1:01,domestic_league
3451409,ES1,2020,31. Matchday,21/04/21,0:01,domestic_league
3451747,DK1,2020,3. Matchday,27/09/20,2:01,domestic_league
3451755,DK1,2020,4. Matchday,04/10/20,3:02,domestic_league
2604364,CLQ,2015,3rd round 1st leg,28/07/15,1:02,international_cup
2604371,ELQ,2015,3rd round 1st leg,30/07/15,2:00,international_cup
2604908,ELQ,2015,3rd round 1st leg,30/07/15,2:00,international_cup
2618540,CL,2015,Group C,15/09/15,2:00,international_cup
2618638,CL,2015,Group G,09/12/15,1:00,international_cup
2618758,EL,2015,Group E,01/10/15,1:00,international_cup
2646017,EL,2015,intermediate stage 1st leg,18/02/16,3:02,international_cup
2648075,GRP,2015,last 16 2nd leg,13/01/16,6:00,domestic_cup
